room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,description,latitude,longitude,listed
7048801,29122576,Entire home/apt,Aarhus,16,4.5,3,1,46,1,"5 mins to city, forrest and the sea",56.171991,10.211965,22/04/2018
15264471,97100045,Entire home/apt,Frederiksberg,28,4.5,3,2,103,1,Spacious two-bedroom in the middle of Copenhagen!,55.685609,12.536906,22/04/2018
7822329,27572290,Entire home/apt,København,16,5,3,1,70,1,Nice apartment near city center,55.667962,12.601818,22/04/2018
6557243,16845940,Entire home/apt,Aarhus,19,4.5,2,1,87,1,Cozy city-heart apartment,56.150486,10.197552,22/04/2018
10868818,56306900,Entire home/apt,Aarhus,27,4,4,2,77,1,Modern 2 bedroom apartment in Aarhus C,56.156383,10.199124,22/04/2018
5923037,30757513,Entire home/apt,København,30,5,3,1,124,1,Unique and Spacious Nørrebro Flat,55.701324,12.550943,22/04/2018
10942541,1009833,Entire home/apt,København,14,4.5,3,1,70,1,Your holiday in CPH: Clean and calm,55.658474,12.517499,22/04/2018
1218967,673384,Entire home/apt,København,14,5,8,4,279,1,Traveling together as a group?,55.700103,12.587753,22/04/2018
16685453,71926855,Entire home/apt,København,14,4.5,6,2,124,1,Minimalistisk penthouselejlighed,55.635772,12.576873,22/04/2018
4820258,24823717,Entire home/apt,Sorø,16,5,5,2,93,1,Hyggeligt landsted 45 min. fra Kbh,55.479132,11.556008,22/04/2018
